Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Xunte,Xuntes,Xunte,Xuntemos,Xuntedes,Xunten
Deseñe,Deseñes,Deseñe,Deseñemos,Deseñedes,Deseñen
Cargue,Cargues,Cargue,Carguemos,Carguedes,Carguen
Complete,Completes,Complete,Completemos,Completedes,Completen
Incremente,Incrementes,Incremente,Incrementemos,Incrementedes,Incrementen
Transforme,Transformes,Transforme,Transformemos,Transformedes,Transformen
Confese,Confeses,Confese,Confesemos,Confesedes,Confesen
Goberne,Gobernes,Goberne,Gobernemos,Gobernedes,Gobernen
Saliente,Salientes,Saliente,Salientemos,Salientedes,Salienten
Avise,Avises,Avise,Avisemos,Avisedes,Avisen
Colabore,Colabores,Colabore,Colaboremos,Colaboredes,Colaboren
Favoreza,Favorezas,Favoreza,Favorezamos,Favorezades,Favorezan
Prometa,Prometas,Prometa,Prometamos,Prometades,Prometan
Pegue,Pegues,Pegue,Peguemos,Peguedes,Peguen
Revele,Reveles,Revele,Revelemos,Reveledes,Revelen
Ordene,Ordenes,Ordene,Ordenemos,Ordenedes,Ordenen
Consuma,Consumas,Consuma,Consumamos,Consumades,Consuman
Conva,Convas,Conva,Convamos,Convades,Convan
Pinte,Pintes,Pinte,Pintemos,Pintedes,Pinten
Ensine,Ensines,Ensine,Ensinemos,Ensinedes,Ensinen
Describa,Describas,Describa,Describamos,Describades,Describan
Agradeza,Agradezas,Agradeza,Agradezamos,Agradezades,Agradezan
Adapte,Adaptes,Adapte,Adaptemos,Adaptedes,Adapten
Pasee,Pasees,Pasee,Paseemos,Paseedes,Paseen
Cualifique,Cualifiques,Cualifique,Cualifiquemos,Cualifiquedes,Cualifiquen
Compre,Compres,Compre,Compremos,Compredes,Compren
Detecte,Detectes,Detecte,Detectemos,Detectedes,Detecten
Repare,Repares,Repare,Reparemos,Reparedes,Reparen
Salte,Saltes,Salte,Saltemos,Saltedes,Salten
Presida,Presidas,Presida,Presidamos,Presidades,Presidan
Impulse,Impulses,Impulse,Impulsemos,Impulsedes,Impulsen
Tema,Temas,Tema,Temamos,Temades,Teman
Substitúa,Substitúas,Substitúa,Substituamos,Substituades,Substitúan
Supoña,Supoñas,Supoña,Supoñamos,Supoñades,Supoñan
Adiante,Adiantes,Adiante,Adiantemos,Adiantedes,Adianten
Condene,Condenes,Condene,Condenemos,Condenedes,Condenen
Anime,Animes,Anime,Animemos,Animedes,Animen
Mida,Midas,Mida,Midamos,Midades,Midan
Investigue,Investigues,Investigue,Investiguemos,Investiguedes,Investiguen
Pronuncie,Pronuncies,Pronuncie,Pronunciemos,Pronunciedes,Pronuncien
Cometa,Cometas,Cometa,Cometamos,Cometades,Cometan
