Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Reclamaba,Reclamabas,Reclamaba,Reclamabamos,Reclamabades,Reclamaban
Integraba,Integrabas,Integraba,Integrabamos,Integrabades,Integraban
Cruzaba,Cruzabas,Cruzaba,Cruzabamos,Cruzabades,Cruzaban
Percorría,Percorrías,Percorría,Percorriamos,Percorriades,Percorrían
Asistía,Asistías,Asistía,Asistiamos,Asistiades,Asistían
Resolvía,Resolvías,Resolvía,Resolviamos,Resolviades,Resolvían
Destinaba,Destinabas,Destinaba,Destinabamos,Destinabades,Destinaban
Rompía,Rompías,Rompía,Rompiamos,Rompiades,Rompían
Elaboraba,Elaborabas,Elaboraba,Elaborabamos,Elaborabades,Elaboraban
Sumaba,Sumabas,Sumaba,Sumabamos,Sumabades,Sumaban
Identificaba,Identificabas,Identificaba,Identificabamos,Identificabades,Identificaban
Garantía,Garantías,Garantía,Garantiamos,Garantiades,Garantían
Asinaba,Asinabas,Asinaba,Asinabamos,Asinabades,Asinaban
Contía,Contías,Contía,Contiamos,Contiades,Contían
Introducía,Introducías,Introducía,Introduciamos,Introduciades,Introducían
Facilitaba,Facilitabas,Facilitaba,Facilitabamos,Facilitabades,Facilitaban
Quitaba,Quitabas,Quitaba,Quitabamos,Quitabades,Quitaban
Decía,Decías,Decía,Deciamos,Deciades,Decían
Conducía,Conducías,Conducía,Conduciamos,Conduciades,Conducían
Enviaba,Enviabas,Enviaba,Enviabamos,Enviabades,Enviaban
Acusaba,Acusabas,Acusaba,Acusabamos,Acusabades,Acusaban
Partía,Partías,Partía,Partiamos,Partiades,Partían
Centraba,Centrabas,Centraba,Centrabamos,Centrabades,Centraban
Posuía,Posuías,Posuía,Posuïamos,Posuïades,Posuían
Determinaba,Determinabas,Determinaba,Determinabamos,Determinabades,Determinaban
Causaba,Causabas,Causaba,Causabamos,Causabades,Causaban
Tardaba,Tardabas,Tardaba,Tardabamos,Tardabades,Tardaban
Rexeitaba,Rexeitabas,Rexeitaba,Rexeitabamos,Rexeitabades,Rexeitaban
Lanzaba,Lanzabas,Lanzaba,Lanzabamos,Lanzabades,Lanzaban
Exercía,Exercías,Exercía,Exerciamos,Exerciades,Exercían
Regresaba,Regresabas,Regresaba,Regresabamos,Regresabades,Regresaban
Incorporaba,Incorporabas,Incorporaba,Incorporabamos,Incorporabades,Incorporaban
Encargaba,Encargabas,Encargaba,Encargabamos,Encargabades,Encargaban
Sorprendía,Sorprendías,Sorprendía,Sorprendiamos,Sorprendiades,Sorprendían
Conservaba,Conservabas,Conservaba,Conservabamos,Conservabades,Conservaban
Impoñía,Impoñías,Impoñía,Impoñiamos,Impoñiades,Impoñían
