Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Sostín,Sostiches,Sosteu,Sostemos,Sostestes,Sosteron
Separei,Separaches,Separou,Separamos,Separastes,Separaron
Protexín,Protexiches,Protexeu,Protexemos,Protexestes,Protexeron
Prendín,Prendiches,Prendeu,Prendemos,Prendestes,Prenderon
Cobrei,Cobraches,Cobrou,Cobramos,Cobrastes,Cobraron
Estudiei,Estudiaches,Estudiou,Estudiamos,Estudiastes,Estudiaron
Expuxen,Expuxeches,Expuxo,Expuxemos,Expuxestes,Expuxeron
Percibín,Percibiches,Percibiu,Percibimos,Percibistes,Percibiron
Admitín,Admitiches,Admitiu,Admitimos,Admitistes,Admitiron
Derivei,Derivaches,Derivou,Derivamos,Derivastes,Derivaron
Soñei,Soñaches,Soñou,Soñamos,Soñastes,Soñaron
Montei,Montaches,Montou,Montamos,Montastes,Montaron
Xustifiquei,Xustificaches,Xustificou,Xustificamos,Xustificastes,Xustificaron
Citei,Citaches,Citou,Citamos,Citastes,Citaron
Emitín,Emitiches,Emitiu,Emitimos,Emitistes,Emitiron
Comuniquei,Comunicaches,Comunicou,Comunicamos,Comunicastes,Comunicaron
Enfrontei,Enfrontaches,Enfrontou,Enfrontamos,Enfrontastes,Enfrontaron
Compuxen,Compuxeches,Compuxo,Compuxemos,Compuxestes,Compuxeron
Reflectín,Reflectiches,Reflectiu,Reflectimos,Reflectistes,Reflectiron
Respectei,Respectaches,Respectou,Respectamos,Respectastes,Respectaron
Valorei,Valoraches,Valorou,Valoramos,Valorastes,Valoraron
Afastei,Afastaches,Afastou,Afastamos,Afastastes,Afastaron
Figurei,Figuraches,Figurou,Figuramos,Figurastes,Figuraron
Intervín,Interviches,Interviu,Intervimos,Intervistes,Interviron
Critiquei,Criticaches,Criticou,Criticamos,Criticastes,Criticaron
Roubei,Roubaches,Roubou,Roubamos,Roubastes,Roubaron
Accedín,Accediches,Accedeu,Accedemos,Accedestes,Accederon
Transmitín,Transmitiches,Transmitiu,Transmitimos,Transmitistes,Transmitiron
Voltei,Voltaches,Voltou,Voltamos,Voltastes,Voltaron
Distinguín,Distinguiches,Distinguiu,Distinguimos,Distinguistes,Distinguiron
Durei,Duraches,Durou,Duramos,Durastes,Duraron
Probei,Probaches,Probou,Probamos,Probastes,Probaron
Escapei,Escapaches,Escapou,Escapamos,Escapastes,Escaparon
Despedín,Despediches,Despediu,Despedimos,Despedistes,Despediron
Atrevín,Atreviches,Atreveu,Atrevemos,Atrevestes,Atreveron
Confiei,Confiaches,Confiou,Confiamos,Confiastes,Confiaron
Amei,Amaches,Amou,Amamos,Amastes,Amaron
Apostei,Apostaches,Apostou,Apostamos,Apostastes,Apostaron
Tendín,Tendiches,Tendeu,Tendemos,Tendestes,Tenderon
Devolvín,Devolviches,Devolveu,Devolvemos,Devolvestes,Devolveron
Pousei,Pousaches,Pousou,Pousamos,Pousastes,Pousaron
Xuntei,Xuntaches,Xuntou,Xuntamos,Xuntastes,Xuntaron
Deseñei,Deseñaches,Deseñou,Deseñamos,Deseñastes,Deseñaron
Carguei,Cargaches,Cargou,Cargamos,Cargastes,Cargaron
Completei,Completaches,Completou,Completamos,Completastes,Completaron
Incrementei,Incrementaches,Incrementou,Incrementamos,Incrementastes,Incrementaron
Transformei,Transformaches,Transformou,Transformamos,Transformastes,Transformaron
Confesei,Confesaches,Confesou,Confesamos,Confesastes,Confesaron
Gobernei,Gobernaches,Gobernou,Gobernamos,Gobernastes,Gobernaron
Salientei,Salientaches,Salientou,Salientamos,Salientastes,Salientaron
Avisei,Avisaches,Avisou,Avisamos,Avisastes,Avisaron
Colaborei,Colaboraches,Colaborou,Colaboramos,Colaborastes,Colaboraron
Favorecín,Favoreciches,Favoreceu,Favorecemos,Favorecestes,Favoreceron
Prometín,Prometiches,Prometeu,Prometemos,Prometestes,Prometeron
Peguei,Pegaches,Pegou,Pegamos,Pegastes,Pegaron
Revelei,Revelaches,Revelou,Revelamos,Revelastes,Revelaron
Ordenei,Ordenaches,Ordenou,Ordenamos,Ordenastes,Ordenaron
Consumín,Consumiches,Consumiu,Consumimos,Consumistes,Consumiron
