Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Concluiría,Concluirías,Concluiría,Concluiriamos,Concluiriades,Concluirían
Viraría,Virarías,Viraría,Virariamos,Virariades,Virarían
Escollería,Escollerías,Escollería,Escolleriamos,Escolleriades,Escollerían
Controlaría,Controlarías,Controlaría,Controlariamos,Controlariades,Controlarían
Loitaría,Loitarías,Loitaría,Loitariamos,Loitariades,Loitarían
Batería,Baterías,Batería,Bateriamos,Bateriades,Baterían
Acollería,Acollerías,Acollería,Acolleriamos,Acolleriades,Acollerían
Prestaría,Prestarías,Prestaría,Prestariamos,Prestariades,Prestarían
Implicaría,Implicarías,Implicaría,Implicariamos,Implicariades,Implicarían
Casaría,Casarías,Casaría,Casariamos,Casariades,Casarían
Mudaría,Mudarías,Mudaría,Mudariamos,Mudariades,Mudarían
Pertencería,Pertencerías,Pertencería,Pertenceriamos,Pertenceriades,Pertencerían
Retiraría,Retirarías,Retiraría,Retirariamos,Retirariades,Retirarían
Salvaría,Salvarías,Salvaría,Salvariamos,Salvariades,Salvarían
Adoptaría,Adoptarías,Adoptaría,Adoptariamos,Adoptariades,Adoptarían
Estudaría,Estudarías,Estudaría,Estudariamos,Estudariades,Estudarían
Convocaría,Convocarías,Convocaría,Convocariamos,Convocariades,Convocarían
Subliñaría,Subliñarías,Subliñaría,Subliñariamos,Subliñariades,Subliñarían
Espertaría,Espertarías,Espertaría,Espertariamos,Espertariades,Espertarían
Instalaría,Instalarías,Instalaría,Instalariamos,Instalariades,Instalarían
Custaría,Custarías,Custaría,Custariamos,Custariades,Custarían
Estendería,Estenderías,Estendería,Estenderiamos,Estenderiades,Estenderían
Sometería,Someterías,Sometería,Someteriamos,Someteriades,Someterían
Promovería,Promoverías,Promovería,Promoveriamos,Promoveriades,Promoverían
Interpretaría,Interpretarías,Interpretaría,Interpretariamos,Interpretariades,Interpretarían
Trasladaría,Trasladarías,Trasladaría,Trasladariamos,Trasladariades,Trasladarían
Atravesaría,Atravesarías,Atravesaría,Atravesariamos,Atravesariades,Atravesarían
Rodearía,Rodearías,Rodearía,Rodeariamos,Rodeariades,Rodearían
Concedería,Concederías,Concedería,Concederiamos,Concederiades,Concederían
Limitaría,Limitarías,Limitaría,Limitariamos,Limitariades,Limitarían
Cabería,Caberías,Cabería,Caberiamos,Caberiades,Caberían
Merecería,Merecerías,Merecería,Mereceriamos,Mereceriades,Merecerían
Dubidaría,Dubidarías,Dubidaría,Dubidariamos,Dubidariades,Dubidarían
Sostería,Sosterías,Sostería,Sosteriamos,Sosteriades,Sosterían
Separaría,Separarías,Separaría,Separariamos,Separariades,Separarían
Protexería,Protexerías,Protexería,Protexeriamos,Protexeriades,Protexerían
Prendería,Prenderías,Prendería,Prenderiamos,Prenderiades,Prenderían
Cobraría,Cobrarías,Cobraría,Cobrariamos,Cobrariades,Cobrarían
Estudiaría,Estudiarías,Estudiaría,Estudiariamos,Estudiariades,Estudiarían
Expoñería,Expoñerías,Expoñería,Expoñeriamos,Expoñeriades,Expoñerían
Percibiría,Percibirías,Percibiría,Percibiriamos,Percibiriades,Percibirían
Admitiría,Admitirías,Admitiría,Admitiriamos,Admitiriades,Admitirían
Derivaría,Derivarías,Derivaría,Derivariamos,Derivariades,Derivarían
Soñaría,Soñarías,Soñaría,Soñariamos,Soñariades,Soñarían
Montaría,Montarías,Montaría,Montariamos,Montariades,Montarían
Xustificaría,Xustificarías,Xustificaría,Xustificariamos,Xustificariades,Xustificarían
Citaría,Citarías,Citaría,Citariamos,Citariades,Citarían
Emitiría,Emitirías,Emitiría,Emitiriamos,Emitiriades,Emitirían
Comunicaría,Comunicarías,Comunicaría,Comunicariamos,Comunicariades,Comunicarían
Enfrontaría,Enfrontarías,Enfrontaría,Enfrontariamos,Enfrontariades,Enfrontarían
Compoñería,Compoñerías,Compoñería,Compoñeriamos,Compoñeriades,Compoñerían
Reflectiría,Reflectirías,Reflectiría,Reflectiriamos,Reflectiriades,Reflectirían
Respectaría,Respectarías,Respectaría,Respectariamos,Respectariades,Respectarían
Valoraría,Valorarías,Valoraría,Valorariamos,Valorariades,Valorarían
Afastaría,Afastarías,Afastaría,Afastariamos,Afastariades,Afastarían
Figuraría,Figurarías,Figuraría,Figurariamos,Figurariades,Figurarían
Interviría,Intervirías,Interviría,Interviriamos,Interviriades,Intervirían
Criticaría,Criticarías,Criticaría,Criticariamos,Criticariades,Criticarían
Roubaría,Roubarías,Roubaría,Roubariamos,Roubariades,Roubarían
Accedería,Accederías,Accedería,Accederiamos,Accederiades,Accederían
Transmitiría,Transmitirías,Transmitiría,Transmitiriamos,Transmitiriades,Transmitirían
Voltaría,Voltarías,Voltaría,Voltariamos,Voltariades,Voltarían
Distinguiría,Distinguirías,Distinguiría,Distinguiriamos,Distinguiriades,Distinguirían
Duraría,Durarías,Duraría,Durariamos,Durariades,Durarían
