Eu,Ti,El/Ela,Nós,Vós,Eles/Elas
Resolvese,Resolveses,Resolvese,Resolvésemos,Resolvésedes,Resolvesen
Destinase,Destinases,Destinase,Destinásemos,Destinásedes,Destinasen
Rompese,Rompeses,Rompese,Rompésemos,Rompésedes,Rompesen
Elaborase,Elaborases,Elaborase,Elaborásemos,Elaborásedes,Elaborasen
Sumase,Sumases,Sumase,Sumásemos,Sumásedes,Sumasen
Identificase,Identificases,Identificase,Identificásemos,Identificásedes,Identificasen
Garantise,Garantises,Garantise,Garantísemos,Garantísedes,Garantisen
Asinase,Asinases,Asinase,Asinásemos,Asinásedes,Asinasen
Contese,Conteses,Contese,Contésemos,Contésedes,Contesen
Introducise,Introducises,Introducise,Introducísemos,Introducísedes,Introducisen
Facilitase,Facilitases,Facilitase,Facilitásemos,Facilitásedes,Facilitasen
Quitase,Quitases,Quitase,Quitásemos,Quitásedes,Quitasen
Decese,Deceses,Decese,Decésemos,Decésedes,Decesen
Conducise,Conducises,Conducise,Conducísemos,Conducísedes,Conducisen
Enviase,Enviases,Enviase,Enviásemos,Enviásedes,Enviasen
Acusase,Acusases,Acusase,Acusásemos,Acusásedes,Acusasen
Partise,Partises,Partise,Partísemos,Partísedes,Partisen
Centrase,Centrases,Centrase,Centrásemos,Centrásedes,Centrasen
Posuíse,Posuíses,Posuíse,Posuísemos,Posuísedes,Posuísen
Determinase,Determinases,Determinase,Determinásemos,Determinásedes,Determinasen
Causase,Causases,Causase,Causásemos,Causásedes,Causasen
Tardase,Tardases,Tardase,Tardásemos,Tardásedes,Tardasen
Rexeitase,Rexeitases,Rexeitase,Rexeitásemos,Rexeitásedes,Rexeitasen
Lanzase,Lanzases,Lanzase,Lanzásemos,Lanzásedes,Lanzasen
Exercese,Exerceses,Exercese,Exercésemos,Exercésedes,Exercesen
Regresase,Regresases,Regresase,Regresásemos,Regresásedes,Regresasen
Incorporase,Incorporases,Incorporase,Incorporásemos,Incorporásedes,Incorporasen
Encargase,Encargases,Encargase,Encargásemos,Encargásedes,Encargasen
Sorprendese,Sorprendeses,Sorprendese,Sorprendésemos,Sorprendésedes,Sorprendesen
Conservase,Conservases,Conservase,Conservásemos,Conservásedes,Conservasen
Impuxese,Impuxeses,Impuxese,Impuxésemos,Impuxésedes,Impuxesen
Adquirise,Adquirises,Adquirise,Adquirísemos,Adquirísedes,Adquirisen
Cortase,Cortases,Cortase,Cortásemos,Cortásedes,Cortasen
Consistise,Consistises,Consistise,Consistísemos,Consistísedes,Consistisen
Contribuíse,Contribuíses,Contribuíse,Contribuísemos,Contribuísedes,Contribuísen
Viaxase,Viaxases,Viaxase,Viaxásemos,Viaxásedes,Viaxasen
Procedese,Procedeses,Procedese,Procedésemos,Procedésedes,Procedesen
Concluíse,Concluíses,Concluíse,Concluísemos,Concluísedes,Concluísen
Virase,Virases,Virase,Virásemos,Virásedes,Virasen
Escollese,Escolleses,Escollese,Escollésemos,Escollésedes,Escollesen
Controlase,Controlases,Controlase,Controlásemos,Controlásedes,Controlasen
Loitase,Loitases,Loitase,Loitásemos,Loitásedes,Loitasen
Batese,Bateses,Batese,Batésemos,Batésedes,Batesen
Acollese,Acolleses,Acollese,Acollésemos,Acollésedes,Acollesen
Prestase,Prestases,Prestase,Prestásemos,Prestásedes,Prestasen
Implicase,Implicases,Implicase,Implicásemos,Implicásedes,Implicasen
Casase,Casases,Casase,Casásemos,Casásedes,Casasen
Mudase,Mudases,Mudase,Mudásemos,Mudásedes,Mudasen
Pertencese,Pertenceses,Pertencese,Pertencésemos,Pertencésedes,Pertencesen
Retirase,Retirases,Retirase,Retirásemos,Retirásedes,Retirasen
Salvase,Salvases,Salvase,Salvásemos,Salvásedes,Salvasen
Adoptase,Adoptases,Adoptase,Adoptásemos,Adoptásedes,Adoptasen
Estudase,Estudases,Estudase,Estudásemos,Estudásedes,Estudasen
Convocase,Convocases,Convocase,Convocásemos,Convocásedes,Convocasen
Subliñase,Subliñases,Subliñase,Subliñásemos,Subliñásedes,Subliñasen
Espertase,Espertases,Espertase,Espertásemos,Espertásedes,Espertasen
Instalase,Instalases,Instalase,Instalásemos,Instalásedes,Instalasen
Custase,Custases,Custase,Custásemos,Custásedes,Custasen
Estendese,Estendeses,Estendese,Estendésemos,Estendésedes,Estendesen
Sometese,Someteses,Sometese,Sometésemos,Sometésedes,Sometesen
Promovese,Promoveses,Promovese,Promovésemos,Promovésedes,Promovesen
Interpretase,Interpretases,Interpretase,Interpretásemos,Interpretásedes,Interpretasen
Trasladase,Trasladases,Trasladase,Trasladásemos,Trasladásedes,Trasladasen
Atravesase,Atravesases,Atravesase,Atravesásemos,Atravesásedes,Atravesasen
Rodease,Rodeases,Rodease,Rodeásemos,Rodeásedes,Rodeasen
Concedese,Concedeses,Concedese,Concedésemos,Concedésedes,Concedesen
Limitase,Limitases,Limitase,Limitásemos,Limitásedes,Limitasen
Coubese,Coubeses,Coubese,Coubésemos,Coubésedes,Coubesen
Merecese,Mereceses,Merecese,Merecésemos,Merecésedes,Merecesen
Dubidase,Dubidases,Dubidase,Dubidásemos,Dubidásedes,Dubidasen
Sostese,Sosteses,Sostese,Sostésemos,Sostésedes,Sostesen
Separase,Separases,Separase,Separásemos,Separásedes,Separasen
Protexese,Protexeses,Protexese,Protexésemos,Protexésedes,Protexesen
Prendese,Prendeses,Prendese,Prendésemos,Prendésedes,Prendesen
Cobrase,Cobrases,Cobrase,Cobrásemos,Cobrásedes,Cobrasen
Estudiase,Estudiases,Estudiase,Estudiásemos,Estudiásedes,Estudiasen
Expuxese,Expuxeses,Expuxese,Expuxésemos,Expuxésedes,Expuxesen
Percibise,Percibises,Percibise,Percibísemos,Percibísedes,Percibisen
Admitise,Admitises,Admitise,Admitísemos,Admitísedes,Admitisen
Derivase,Derivases,Derivase,Derivásemos,Derivásedes,Derivasen
Soñase,Soñases,Soñase,Soñásemos,Soñásedes,Soñasen
Montase,Montases,Montase,Montásemos,Montásedes,Montasen
Xustificase,Xustificases,Xustificase,Xustificásemos,Xustificásedes,Xustificasen
Citase,Citases,Citase,Citásemos,Citásedes,Citasen
Emitise,Emitises,Emitise,Emitísemos,Emitísedes,Emitisen
Comunicase,Comunicases,Comunicase,Comunicásemos,Comunicásedes,Comunicasen
Enfrontase,Enfrontases,Enfrontase,Enfrontásemos,Enfrontásedes,Enfrontasen
Compuxese,Compuxeses,Compuxese,Compuxésemos,Compuxésedes,Compuxesen
Reflectise,Reflectises,Reflectise,Reflectísemos,Reflectísedes,Reflectisen
Respectase,Respectases,Respectase,Respectásemos,Respectásedes,Respectasen
Valorase,Valorases,Valorase,Valorásemos,Valorásedes,Valorasen
Afastase,Afastases,Afastase,Afastásemos,Afastásedes,Afastasen
Figurase,Figurases,Figurase,Figurásemos,Figurásedes,Figurasen
Intervise,Intervises,Intervise,Intervísemos,Intervísedes,Intervisen
Criticase,Criticases,Criticase,Criticásemos,Criticásedes,Criticasen
Roubase,Roubases,Roubase,Roubásemos,Roubásedes,Roubasen
Accedese,Accedeses,Accedese,Accedésemos,Accedésedes,Accedesen
Transmitise,Transmitises,Transmitise,Transmitísemos,Transmitísedes,Transmitisen
Voltase,Voltases,Voltase,Voltásemos,Voltásedes,Voltasen
Distinguise,Distinguises,Distinguise,Distinguísemos,Distinguísedes,Distinguisen
Durase,Durases,Durase,Durásemos,Durásedes,Durasen
Probase,Probases,Probase,Probásemos,Probásedes,Probasen
Escapase,Escapases,Escapase,Escapásemos,Escapásedes,Escapasen
Despedise,Despedises,Despedise,Despedísemos,Despedísedes,Despedisen
